pc,delta
94685453736996,756181920
94685453736968,1155157536
94685453736968,-802953216
94685453736996,-1645546464
94685453736968,2613685600
94685453737011,235090640
94685453736968,-3282136232
94685453736749,1360820216
94685453736968,-1236681840
94685453736968,1321946496
94685453736968,-1956753192
94685453736749,-22344609956
94685453736924,23935249484
94685453736968,2387194896
94685453736996,281457888
94685453736968,-1655192456
94685453737084,906786072
94685453736974,1451888
94685453736968,-1721565120
94685453736968,1210383216
94685453736968,275800768
94685453736974,-232051008
94685453736974,-1584999568
94685453736968,2625808032
94685453736968,-2872012992
94685453736968,251754192
94685453736968,3020126592
94685453736968,-1494219120
94685453736968,686335968
94685453736968,-1639832064
94685453736968,368441568
94685453736968,-1511383200
94685453736968,2854772160
94685453736968,-2787163216
94685453737057,2385337552
94685453736968,-2331685088
94685453737011,1655275328
94685453736968,-66788497272
94685453736924,65668712040
94685453736996,-4355159532
94685453736924,3663756348
94685453736968,1747584768
94685453736968,1499808864
94685453736968,483246336
94685453736968,-2824705200
94685453736996,1906456544
94685453737057,-2140138048
94685453736974,3112845680
94685453736968,-1395618080
94685453736974,973544864
94685453736968,1020172358120
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-168
94685453738958,168
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,0
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,32
94685453736661,224
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-192
94685453736652,192
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,40
94685453739289,-40
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-176
94685453736640,176
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-256
94685453736816,256
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,8
94685453736698,-8
94685453737161,0
94685453737161,-8
94685453738901,8
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,0
94685453737161,-1024453711168
94685453736749,4405007192
94685453736968,-3711165072
94685453736968,938945232
94685453736968,-1646332168
94685453736749,1220051352
94685453737057,1940584864
94685453736968,-2367646320
94685453736968,1000835088
94685453736968,381000000
94685453736968,540680880
94685453736996,187616304
94685453736968,-244154544
94685453736968,-994680800
94685453736974,1148811200
94685453736968,895460832
94685453736996,455121456
94685453736968,-3220858256
94685453736974,646252928
94685453736968,3063625200
94685453736968,-1491494256
94685453736996,-1479979152
94685453736968,-718577856
94685453736968,3007173312
94685453736968,-3231539792
94685453736974,2405423072
94685453736968,-1037899896
94685453736988,450101976
94685453736968,-1727773968
94685453736996,2088863472
94685453736968,-553267824
94685453736968,481936896
94685453736968,75094128
94685453736996,-1232185104
94685453736968,846464640
94685453736968,165489936
94685453736968,-237822864
94685453736968,1308826608
94685453736996,-2856587248
94685453737057,-484448552
94685453736749,2087087400
94685453736968,-1444956384
94685453736968,3566190432
94685453736968,-2313753984
94685453736968,828477360
94685453736968,-2747204248
94685453736749,3683854360
94685453736996,-3256748784
94685453736968,2459852256
94685453736996,1045384288
94685453736974,-1171840576
94685453736968,-2198944272
94685453736996,2928307008
94685453736968,-1055770112
94685453737011,-1669878736
94685453736968,-690278456
